bank,district,state,blood_group,short_units
"Ocean Bahuuddeshiy Sanstha, M/S Ekneel Blood Centre",Yavatmal,Maharashtra,B-,7
"Bhartiya Sanskruti Shikshan Prasarak Mandal, Sangola sanchlit,Sangola Blood Centre,Sangola,Solapur",Solapur,Maharashtra,B-,6
"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Maharashtra,B-,7
"Shri.Swami Samarth Blood Centre, Pandharpur, Solapur",Solapur,Maharashtra,B-,3
"Krishna Hospital And Medical Research Centre, Blood Centre",Satara,Maharashtra,B-,2
Autus Blood Centre,Pune,Maharashtra,B-,6
"Athar Blood Centre, Solapur",Solapur,Maharashtra,B-,6
Navjeevan Blood Centre Mangaed By Spvf,Thane,Maharashtra,B-,7
Support Multipurpose Society Aadhar Blood Centre,Ahmadnagar,Maharashtra,B-,6
"Shree Sainath Blood Centre, Sinnar, Tal. Sinnar, Dist. Nashik",Nashik,Maharashtra,B-,5
M/S Navi Mumbai Blood Centre,Raigarh,Maharashtra,B-,6
Dattaji Bhale Blood Centre,Aurangabad,Maharashtra,B-,3
Spandan Blood Centre Yavatmal,Yavatmal,Maharashtra,B-,7
Kurduwadi Blood Centre,Solapur,Maharashtra,B-,2
"Jeevandai Blood Centre, Components And Apheresis Centre Beed",Bid,Maharashtra,B-,4
Spandan Blood Centre,Pune,Maharashtra,B-,7
"Shri Manoharpant Sapate Bahuuddeshiya Samajseva Sansthan TrustS, M/S. Medicare Blood Centre",Solapur,Maharashtra,B-,5
Medicare Blood Centre,Yavatmal,Maharashtra,B-,5
"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College Hospital, Blood Bank",Ahmadnagar,Maharashtra,B-,6
Aai Bahuuddeshiya Sevabhavi Sanstha Shourya Blood Centre Yavatmal,Yavatmal,Maharashtra,B-,3
Mahatma Basaveshwar Blood Centre,Solapur,Maharashtra,B-,7
"M/S. Shri Hazur Saheb Blood Centre, Components Laboratory And Apheresis Centre",Parbhani,Maharashtra,B-,7
"Jijau Blood Centre, Blood Component And Apheresis Centre, Parbhani",Parbhani,Maharashtra,B-,4
Vidyashree Charitable Trust Shiv Shambho Blood Centre,Solapur,Maharashtra,B-,2
"Government Medical College And General Hospital Blood Centre, Baramati, District  Pune",Pune,Maharashtra,B-,2
Godavari FoundationS Dr.Ulhas Patil Medical College And Hospital Blood Centre,Jalgaon,Maharashtra,B-,5
"Maharashtra Blood Centre, Waluj Midc, Dist. Chh. Sambhaji Nagar (Aurangabad)",Aurangabad,Maharashtra,B-,7
Phaltan Medical FoundationS Blood Centre,Satara,Maharashtra,B-,7
Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,Pune,Maharashtra,B-,6
M/S. Jai Mata Di Bahuddeshiya SansthaS Melghat Blood Centre,Amravati,Maharashtra,B-,5
"Shri Sai Seva Medical Foundation Sanchalit, Sanjeevani Blood Centre",Nashik,Maharashtra,B-,7
"Sadguru Gajanan Maharaj Education Society,  Paramedical Inst., Revneel Blood Centre",Solapur,Maharashtra,B-,4
Apollo Hospital Charitable Trusts' Apollo Hospital Blood Centre,Raigarh,Maharashtra,B-,7
"Hinjewadi Blood Centre, Hinjewadi, Tal. Mulshi, Dist. Pune",Pune,Maharashtra,B-,7
Shushrusha Citizens Co-Op Hospital Blood Centre,Mumbai,Maharashtra,B-,5
Breach Candy Hospital Trust Blood Centre,Mumbai,Maharashtra,B-,7
Rakesh Jain Memorial Blood Centre,Pune,Maharashtra,B-,4
Jankalyan Blood Centre,Jalna,Maharashtra,B-,5
"Dr. D.Y. Patil Hospital And Research Centre, Blood Centre",Thane,Maharashtra,B-,6
Sanjivan   Blood Centre,Chandrapur,Maharashtra,B-,6
"Dr. L. H. Hiranandani Hospital, Blood Centre",Mumbai,Maharashtra,B-,6
Mauli Blood Centre satara,Satara,Maharashtra,B-,5
"L.T.M.G., Municipal Hospital Blood Centre",Mumbai,Maharashtra,B-,5
Mgm Medical College And Hospital Blood Centre,Aurangabad,Maharashtra,B-,6
"Smbt Institute Of Medical Science And Research Centre, Blood Centre And Component",Nashik,Maharashtra,B-,6
Shwas Foundation Kavatemahankal (Trust) Sanchlit Purandar Blood Centre (Trust),Pune,Maharashtra,B-,4
Morya Blood Centre,Pune,Maharashtra,B-,3
Lokmanya Blood Centre,Aurangabad,Maharashtra,B-,6
Jawahar Medical Foundation Blood Centre,Dhule,Maharashtra,B-,7
Rotary Club New Panvel Charitable  Trust S Late Dr. B.V. Limaye Blood Centre,Raigarh,Maharashtra,B-,7
Jupiter Lifeline Hospital Blood Centre,Pune,Maharashtra,B-,7
"Sir, J.J. Group Hospital Blood Centre, Byculla Mumbai",Mumbai,Maharashtra,B-,7
"Ayush Blood Centre, Vaduj, Tal. Khatav, Dist. Satara",Satara,Maharashtra,B-,4
M/S Pimpri Chinchwad Blood Centre,Pune,Maharashtra,B-,4
"Govt. Medical College Blood Centre, Nagpur",Nagpur,Maharashtra,B-,3
"Shaurya Blood Centre,Blood Components and Apheresis, Chandrapur",Chandrapur,Maharashtra,B-,5
"Arpan Blood Centre, Blood Component And Apheresis Centre Kolhapur",Kolhapur,Maharashtra,B-,5
"Mahatma Gandhi Hospital Blood Centre, New Pargaon",Kolhapur,Maharashtra,B-,6
Blood Centre Shri Vasantrao Naik  Govt. Medical College And Hospital,Yavatmal,Maharashtra,B-,6
Noor Hospital Blood Centre,Jalna,Maharashtra,B-,6
Jankalyan Raktapedhi Pune,Pune,Maharashtra,B-,1
"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Maharashtra,B-,7
Mimer Medical College And Garware Blood Centre,Pune,Maharashtra,B-,7
"Rotary Blood Centre, Rahuri Charitable Trust",Ahmadnagar,Maharashtra,B-,7
Holy Spirit Hospital Blood Centre,Mumbai,Maharashtra,B-,7
Akshay Blood Centre,Solapur,Maharashtra,B-,3
"Islampur Medical Foundations, Rajaram Bapu Blood Centre , Islampur",Sangli,Maharashtra,B-,7
"Navjeevan Blood Centre, Kankawali, Sindhudurga",Sindhudurg,Maharashtra,B-,6
Arpan Blood Centre Blood Component And Apheresis Centre,Latur,Maharashtra,B-,7
M/S. Freedom Foundation Sanchlit Lifeline Blood Centre,Pune,Maharashtra,B-,6
"Blood Bank Civil Hospital, Amravati",Amravati,Maharashtra,B-,2
"Ima, Sahakar Maharshi Shankarrao Mohite Patil Blood Centre",Solapur,Maharashtra,B-,7
Ayush Blood Centre And Component Lab Ramdaspeth Nagpur,Nagpur,Maharashtra,B-,7
"Dr. P.D.M.H.C. Hospital And Research Centre, Blood Centre",Amravati,Maharashtra,B-,5
"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Maharashtra,B-,7
Jalna Blood Centre Components And Apheresis Centre,Jalna,Maharashtra,B-,6
"Adarsh Sanskaar Mandal  Sanchalit, Dr. Hedgewar Rakta Pedhi, Blood Centre",Akola,Maharashtra,B-,3
Keshavsmruti Pratishthan Sanchalit Madhavrao Golwalkar Swayamsevi Raktpedhi,Jalgaon,Maharashtra,B-,4
Sasoon Blood Centre Pune,Pune,Maharashtra,B-,6
"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Maharashtra,B-,7
Pimpri Chinchwad  Municipal CorporationS Y.C.M. Hospital Blood Centre,Pune,Maharashtra,B-,6
Leelavati Blood Centre,Buldana,Maharashtra,B-,6
"Indian Red Cross Society , Sarjubai, Bansila Bajaj Blood Centre",Solapur,Maharashtra,B-,7
"Late Balasaheb Datye, Lions Blood Centre, Ichalkaranji",Kolhapur,Maharashtra,B-,7
"Nandkishor Education Society Trust, Arpan Voluntary Blood Centre",Nagpur,Maharashtra,B-,6
M/S Aman Blood Centre Gandhibag Nagpur,Nagpur,Maharashtra,B-,7
Pravara Medical Trusts Blood Centre,Ahmadnagar,Maharashtra,B-,2
Manikraj Bahuudeshiya Samajsevi Sanstha Shivneri Blood Centre,Pune,Maharashtra,B-,6
HINDU HRUDAYSAMRAT BALASAHEB  THACKERAY  HOSPITAL BLOOD CENTRE,Nashik,Maharashtra,B-,7
Vijayee Blood Centre Vasai (W),Palghar,Maharashtra,B-,1
Rotary Blood Centre,Pune,Maharashtra,B-,7
"Deenanath Mangeshkar Hospital, Blood Centre",Pune,Maharashtra,B-,4
Jankalyan Blood Centre,Ahmadnagar,Maharashtra,B-,6
Dean Government Medical College And Super Speciality Hospital Blood Centre,Nagpur,Maharashtra,B-,7
"Balaji Blood Centre, Lonand, Khandala Taluk, Dist. Satara",Satara,Maharashtra,B-,7
Kalpataru Bahuuddeshiya Sansthas Lokmanya Blood Centre Gondia,Gondiya,Maharashtra,B-,7
"Shri Dhaneshwari Manav Vikas Mandals, Shantai Blood Centre, Pedgaon, Dist. Parbhani",Parbhani,Maharashtra,B-,7
"Sadhu Vaswani Mission Medical Complex, Inlaks And Budharani Hospital Blood Centre, Pune",Pune,Maharashtra,B-,6
Shrikrishna Blood Center,Osmanabad,Maharashtra,B-,4
"Grant Medical Foundation,  A.H. Wadia Trust Blood Centre",Pune,Maharashtra,B-,5
Shree Swami Samarth Blood Centre,Ratnagiri,Maharashtra,B-,5
Navjivan Blood Centre Mged By Saraswati Vidyaprasarak Foundation,Mumbai,Maharashtra,B-,5
Samarpan Blood Centre,Mumbai,Maharashtra,B-,7
Sanjeevani Blood Centre Bhosari,Pune,Maharashtra,B-,1
"Sai Seva Medical Foundation, Vaibhavlaxmi Blood Centre",Kolhapur,Maharashtra,B-,5
"Civil Surgeon, District General Hospital Blood Centre",Parbhani,Maharashtra,B-,4
Manipal Hospitals Pvt Ltd Blood Centre,Pune,Maharashtra,B-,7
Shree Navjeevan Blood Centre Dhule,Dhule,Maharashtra,B-,5
"Vedanta Hospital And Research Center Blood Centre, Saswand, Post Dhundalwadi",Palghar,Maharashtra,B-,7
"Varad Charitable And Medical Trust, Balaji Blood Centre, Satara",Satara,Maharashtra,B-,6
Golwalkari Guruji Blood Centre,Nanded,Maharashtra,B-,7
Sant Jagnnath Maharaj Anjalekar Bahuuudeshiya Sansthas Sanjivani Blood Centre,Jalgaon,Maharashtra,B-,7
"Blood Bank Civil Hospital, Bhandara",Bhandara,Maharashtra,B-,7
Rotary D.G Goenka Blood Centre( Municipal Gen. Hospital),Mumbai,Maharashtra,B-,7
"Civil Surgeon, District General Hospital Blood Centre & Blood Component Unit Hingoli",Hingoli,Maharashtra,B-,6
"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Maharashtra,B-,6
Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis Trust,Pune,Maharashtra,B-,7
Daga Memorial Women Govt. Hospital Blood Centre Nagpr,Nagpur,Maharashtra,B-,6
Shri Gajanan Blood Centre And Components,Yavatmal,Maharashtra,B-,7
Aurangabad Thalassemia Society Shri Satya Sai Blood Centre,Aurangabad,Maharashtra,B-,5
Borivali Blood Centre (Doshi Memorial Charitable Trust),Mumbai,Maharashtra,B-,4
M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Maharashtra,B-,7
"Sushilaben R. Mehta And Sir. Kikabai Cardiac Institute, Blood Centre",Mumbai,Maharashtra,B-,6
Dean Datta Meghe Medical Collecge M.S.Dattatraya Blood Centre,Nagpur,Maharashtra,B-,5
"Metro Blood Centre,Civil Hospital Aundh Pune",Pune,Maharashtra,B-,7
Prakash Blood Centre And Blood Component Seperation Unit,Sangli,Maharashtra,B-,7
"Shaurya Blood Centre, Blood Component And Apheresis Centre, Ahmedpur, Dist. Latur",Latur,Maharashtra,B-,6
"Indian Red Cross Society Blood Centre, Nanded",Nanded,Maharashtra,B-,7
"Kakasaheb Chitle  Memorial Centre Sanchalit,  Jankalyan Blood Centre",Raigarh,Maharashtra,B-,3
Jeevan Jyoti Blood Centre And Component,Nagpur,Maharashtra,B-,7
"Criticare Asia Hospital Blood Centre, Pvt. Ltd., Kurla (W), Mumbai",Mumbai,Maharashtra,B-,7
Seva Blood Centre,Nashik,Maharashtra,B-,7
"Mgm Blood Centre , Kamothe",Raigarh,Maharashtra,B-,6
Dr. Hegdewar Blood Centre,Nagpur,Maharashtra,B-,7
"Welfare And Educational Trust Of Nmrcw, Chemist Blood Centre",Thane,Maharashtra,B-,6
"Jankalyan Blood Centre, Nashik",Nashik,Maharashtra,B-,4
Mallikarjun Blood Centre,Solapur,Maharashtra,B-,2
Aiims Nagpur Blood Center,Nagpur,Maharashtra,B-,4
"Civil Surgeon, General Hospital Blood Centre, Gadchiroli",Gadchiroli,Maharashtra,B-,7
"Civil Surgeon, District General Hospital Blood Centre,  Nandurbar",Nandurbar,Maharashtra,B-,7
Terna Blood Centre,Thane,Maharashtra,B-,7
Aditya Birla Memorial Hospital Blood Centre,Pune,Maharashtra,B-,5
General Hospital Blood Centre,Chandrapur,Maharashtra,B-,7
"Jai Matadi Bahuuddeshiya Sevabhavi Sasthas Guru Gobindsinghji Blood Centre, Blood Comp And Aphs Nand",Nanded,Maharashtra,B-,3
Ndmvps Medical College And Hospital Blood Centre,Nashik,Maharashtra,B-,4
"Blood Bank Civil Hospital, Ratnagiri",Ratnagiri,Maharashtra,B-,5
Jeevandhara Blood Centre,Kolhapur,Maharashtra,B-,3
"Shri Kamala Bhavani Blood Centre, Karmala",Solapur,Maharashtra,B-,3
Arpan Blood Centre And Blood Component Laboratory And Research Centre Nashik,Nashik,Maharashtra,B-,5
"Nashik Blood Bank And Transfusion Research Institute Blood Bank(Jijau Mahila Sewabhavi Sanstha, Nash",Nashik,Maharashtra,B-,6
Plasma  Blood Centre,Thane,Maharashtra,B-,5
"Akshay Medical Trust, Akshay Blood Centre",Satara,Maharashtra,B-,7
Shija Blood Centre And Transfusion Services,Imphal West,Manipur,B-,6
District Hospital Churachandpur Blood Bank,Churachandpur,Manipur,B-,7
Blood Centre Tura Civil Hospital,West Garo Hills,Meghalaya,B-,4
Naga Hospital Authority Nhak,Kohima,Nagaland,B-,7
"Odisha Blood Centre, District  H/Q Hospital, Nayagarh",Nayagarh,Odisha,B-,7
ODISHA BLOOD CENTRE SAHEED LAXMAN NAYAK MEDICAL COLLEGE AND HOSPITAL,Koraput,Odisha,B-,6
Odisha Blood Centre Rgh Rourkela,Sundargarh,Odisha,B-,7
Kalinga Hospital Ltd. Blood Centre,Khordha,Odisha,B-,4
S.C.B. M.C.H. Blood Centre,Cuttack,Odisha,B-,7
Central Red Cross Blood Centre Cuttack,Cuttack,Odisha,B-,6
Immunohematology And Blood Transfusion Center,Sundargarh,Odisha,B-,7
"Odisha Blood Centre, Sdh, Jeypore",Koraput,Odisha,B-,6
"Odisha Blood Centre, Angul",Angul,Odisha,B-,7
Odisha Blood Centre District Head Quarter Hospital Boudh,Baudh,Odisha,B-,7
"Odisha Blood Centre, D.H.H., Bhawanipatna",Kalahandi,Odisha,B-,7
Odisha Blood Centre (Dhh),Baleshwar,Odisha,B-,7
M/s Bagchi Sri Shankara Cancer Centre and Research Institute Blood center,Khordha,Odisha,B-,6
"Odisha Blood Centre, District Head Quarter Hospital, Dhenkanal",Dhenkanal,Odisha,B-,7
"Padmini Care Blood Centre,DRIEMS Institute of Health Science and Hospital",Cuttack,Odisha,B-,7
Sum Blood Centre,Khordha,Odisha,B-,7
Indira Gandhi Medical College And Research Institute,Puduche,Puducherry,B-,7
Indhira Gandhi Government General Hospital Blood Centre,White Town,Puducherry,B-,7
Sri Manakula Vinayagar Medical College Hospital,Madagadipet,Puducherry,B-,7
Aarupadai Veedu Medical College,Cuddalore Main Road,Puducherry,B-,4
Vinayaka Missions Medical College And Hospital,Karaikal,Puducherry,B-,6
Sri Lakshminarayana Institute Of Medical Sciences,Valuda,Puducherry,B-,7
Pragma Medical Institution,Bathinda,Punjab,B-,3
Emc Blood Centre,Amritsar,Punjab,B-,7
Blood Centre Gian Sagar Medical College And Hospital,Patiala,Punjab,B-,6
Civil Hospital Kapurthala,Kapurthala,Punjab,B-,6
Punjab Institute Of Medical Sciences,Jalandhar,Punjab,B-,7
Krishna Blood Centre,Bathinda,Punjab,B-,5
Deepak Memorial Hospital,Ludhiana,Punjab,B-,7
Civil Hospital Bathinda,Bathinda,Punjab,B-,6
Johal Multispeciality Hospital,Jalandhar,Punjab,B-,4
Preet Multispecailty Hospital And Surgical Centre,Ludhiana,Punjab,B-,7
B.D.C Blood Centre Nawanshahr,Shahid Bhagat Singh Nagar,Punjab,B-,5
"Civil Hospital, Nakodar",Jalandhar,Punjab,B-,7
Mohandai Oswal Hospital Ludhiana,Ludhiana,Punjab,B-,2
"Blood Centre, Sri Guru Ram Dass Insitute Of Medical Science And Research , Vallah Amritsar",Amritsar,Punjab,B-,2
Indrani Blood Centre,Bathinda,Punjab,B-,7
"Shri Guru Teg Bahadur Sahib Charitable Hospital, Ludhiana",Ludhiana,Punjab,B-,7
AIIMS Bathinda Blood Centre,Bathinda,Punjab,B-,2
Aykai Hospital Blood Centre,Ludhiana,Punjab,B-,7
Max Super Speciality  Hospital Mohali,Sahibzada Ajit Singh Nagar,Punjab,B-,6
M/S Smt. Paarvati Devi Hospital Unit-2 Blood Centre,Amritsar,Punjab,B-,7
Blood Centre Civil Hospital Rupnagar,Rupnagar,Punjab,B-,7
Gupta Hospital,Bathinda,Punjab,B-,2
Sri Guru Ram Das Charitable Hospital,Amritsar,Punjab,B-,6
INTERNATIONAL HOSPITAL LTD.,Amritsar,Punjab,B-,4
Civil Hospital Nabha,Patiala,Punjab,B-,6
Humanity Blood Centre,Amritsar,Punjab,B-,3
Vardhman Mahaveer Healthcare Blood Centre,Patiala,Punjab,B-,1
Civil Hospital Abohar,Fazilka,Punjab,B-,3
Prolife Hospitals Blood Centre,Ludhiana,Punjab,B-,6
Shrimann Blood Centre,Jalandhar,Punjab,B-,4
Fortis Hospital,Ludhiana,Punjab,B-,5
Max Super Speciality Hospital Bathinda,Bathinda,Punjab,B-,7
Red Aid Blood Centre,Ludhiana,Punjab,B-,2
Grecian Superspeciality Hospital Mohali,Sahibzada Ajit Singh Nagar,Punjab,B-,7
Fortis Hospital Mohali,Sahibzada Ajit Singh Nagar,Punjab,B-,4
Ivy Hospital Blood Centre Amritsar,Amritsar,Punjab,B-,7
Pasricha Hospital,Jalandhar,Punjab,B-,4
Blood Bank Distt Hospital Mohali,Sahibzada Ajit Singh Nagar,Punjab,B-,4
Bhai Ghanaiyaji Charitable Blood Bank,Hoshiarpur,Punjab,B-,6
"Shri Krishna Hospital, Ludhiana",Ludhiana,Punjab,B-,7
Blood Centre Of Orthonova Hospital,Jalandhar,Punjab,B-,6
Mohali Healthcare Blood Centre,Ludhiana,Punjab,B-,7
"Blood Bank, Guru Nanak Dev Hospital, Amritsar",Amritsar,Punjab,B-,7
Civil Hospital Firozepur,Firozpur,Punjab,B-,6
Satguru Pratap Singh Hospitals,Ludhiana,Punjab,B-,5
K K Johari Blood Centre,Patiala,Punjab,B-,4
Civil Hospital Khanna,Ludhiana,Punjab,B-,6
Kyb Blood Centre,Amritsar,Punjab,B-,6
Neelam Hospital Blood Centre,Patiala,Punjab,B-,3
Civil Hospital Ludhiana,Ludhiana,Punjab,B-,5
Blood Bank Civil Hospital Tarn Taran,Tarn Taran,Punjab,B-,7
Guru Nanak Dev Charitable Hospital Blood Centre,Bathinda,Punjab,B-,5
Civil Hospital Malout,Muktsar,Punjab,B-,7
City Charitable Blood Centre,Patiala,Punjab,B-,7
Civil Hospital Kotkapura,Faridkot,Punjab,B-,7
Atulaya Blood Centre,Muktsar,Punjab,B-,6
Deep Nursing Home And Children Hospital Ludhiana,Ludhiana,Punjab,B-,4
Kaushal Hospital Blood Centre,Sahibzada Ajit Singh Nagar,Punjab,B-,7
Shree Balaji Samaj Sewa Singh,Faridkot,Punjab,B-,5
Maharana Bhupal Govt Hospital Blood Centre Udaipur,Udaipur,Rajasthan,B-,6
District Hospital Baran,Baran,Rajasthan,B-,1
Bansal Blood Centre,Jaipur,Rajasthan,B-,6
Jeevan Jyoti Blood Centre,Bikaner,Rajasthan,B-,7
North Western Railway Hospital,Ajmer,Rajasthan,B-,6
Sudha Medical Collage Blood Centre,Kota,Rajasthan,B-,5
Marudhar Blood Centre,Jaipur,Rajasthan,B-,7
Nohar Blood Centre,Hanumangarh,Rajasthan,B-,6
Rajkiya Mahila Chikitsalaya Ajmer,Ajmer,Rajasthan,B-,1
Shree Charitable Blood Centre,Ganganagar,Rajasthan,B-,4
Renwal Blood Centre,Jaipur,Rajasthan,B-,5
Blood Bank Govt Hospital Ladnun,Nagaur,Rajasthan,B-,6
"Mathura Das Mathur Hospital, Jodhpur",Jodhpur,Rajasthan,B-,3
Bhagwan Mahavir Hospital,Pali,Rajasthan,B-,3
Fortis Hospital Ltd.,Jaipur,Rajasthan,B-,1
Ayushman Blood Center,Jaipur,Rajasthan,B-,6
Jln Hospital Ajmer,Ajmer,Rajasthan,B-,1
Shree Shyam Blood Centre Jhalawar,Jhalawar,Rajasthan,B-,3
Paras Blood Center Charitable Trust Jodhpur,Jodhpur,Rajasthan,B-,7
District Nahata Govt. Hospital Balotra,Balotara,Rajasthan,B-,7
Govt Bangur Hospital Pali,Pali,Rajasthan,B-,6
Sanchore hospital blood centre,Jalor,Rajasthan,B-,5
Bikana Blood Bank,Bikaner,Rajasthan,B-,5
Ss Blood Centre,Jaipur,Rajasthan,B-,6
Maitree Blood Centre,Ganganagar,Rajasthan,B-,3
"Jeevan Raksha Blood Centre, Jhunjhunun",Jhunjhunun,Rajasthan,B-,2
Blood Centre M/S Jodhpur Blood Centre,Jodhpur,Rajasthan,B-,7
Arpan Dholpur Blood Bank,Dhaulpur,Rajasthan,B-,7
Pink City Blood Centre,Jaipur,Rajasthan,B-,5
Reengus Blood Centre,Sikar,Rajasthan,B-,6
Metro City Blood Bank,Jhunjhunun,Rajasthan,B-,7
Zeel Multispeciality Hospital Blood Centre Sagwara,Dungarpur,Rajasthan,B-,6
Bhataner Blood Centre,Hanumangarh,Rajasthan,B-,6
Lalsot Blood Centre,Dausa,Rajasthan,B-,7
Blood Centre Government District Hospital Nawalgarh,Jhunjhunun,Rajasthan,B-,6
Seth Makhan Lal Mahawar Charitable Blood Centre,Alwar,Rajasthan,B-,7
Gurukul Blood Bank,Jaipur,Rajasthan,B-,3
Bhamashah Sushil Kumar Bihani Blood Center (Run By Seth Girdhari Lal Bihani Sanatan Dharm Shiksha,Ganganagar,Rajasthan,B-,7
Jeevan Rekha Hospital And Research Centre,Sikar,Rajasthan,B-,6
Saadat Hospital Tonk,Tonk,Rajasthan,B-,4
Monarch Blood Centre,Alwar,Rajasthan,B-,7
Raath Blood Centre,Alwar,Rajasthan,B-,7
Suman Blood Bank,Jaipur,Rajasthan,B-,6
General Hospital Sirohi,Sirohi,Rajasthan,B-,4
Vivekanand Blood Center,Hanumangarh,Rajasthan,B-,6
Umaid Hospital,Jodhpur,Rajasthan,B-,6
Vidyapati Blood Center,Ajmer,Rajasthan,B-,7
Life Line Blood Centre,Nagaur,Rajasthan,B-,7
Rajdhani Blood Centre,Dhaulpur,Rajasthan,B-,6
Govt Hospital Kekri,Ajmer,Rajasthan,B-,6
Vardhan Blood Centre,Pali,Rajasthan,B-,3
Saharan Blood Bank,Hanumangarh,Rajasthan,B-,5
Janta Blood Centre,Jaipur,Rajasthan,B-,6
Ananta Institute Of Medical Science,Rajsamand,Rajasthan,B-,7
Barala Hospital And Research Centre,Jaipur,Rajasthan,B-,1
Dist. Govt. Hosp. Blood Center,Dausa,Rajasthan,B-,2
Dr. S.S. Tantia Medical College Hospital And Research Center,Ganganagar,Rajasthan,B-,7
Red Drop Blood Centre Jaipur,Jaipur,Rajasthan,B-,4
S.K. Soni Hospital,Jaipur,Rajasthan,B-,7
Soni Hospital Blood Centre,Churu,Rajasthan,B-,6
B.D.K. Hospital Jhunjhunu,Jhunjhunun,Rajasthan,B-,6
Sita Blood Centre,Sikar,Rajasthan,B-,7
Riya Hospital Blood Centre,Sawai Madhopur,Rajasthan,B-,7
Bansur Blood Centre  Kotputli Behror,Kotputli-Behror,Rajasthan,B-,7
Balvir Singh Tomar Institute Of Medical Sciences Research And Hospital Blood Centre,Jaipur,Rajasthan,B-,6
Rotary Blood Centre Jodhpur,Jodhpur,Rajasthan,B-,7
Vyas Blood Centre Super Speciality Hospital,Jodhpur,Rajasthan,B-,7
Park Hospital Blood Centre ( A Unit Of Kailash Super Speciality Hospital Pvt. Ltd. ),Alwar,Rajasthan,B-,5
Ckrdm Blood Center Jhunjhunu,Jhunjhunun,Rajasthan,B-,4
Sanjeevani Blood Centre,Churu,Rajasthan,B-,5
Rajnish Hospital Blood Centre,Jaipur,Rajasthan,B-,7
S.J.M Charitable Janseva Blood Centre,Alwar,Rajasthan,B-,7
Metro Blood Bank  (A Unit Of Hilsun Pharma Pvt. Ltd.),Jaipur,Rajasthan,B-,4
Apex Swasthya Kalyan Blood Bank,Jaipur,Rajasthan,B-,4
American International Institute Of Medical Sciences Bloodbank,Udaipur,Rajasthan,B-,2
Shri Ambe Hospital And Blood Centre,Jaipur,Rajasthan,B-,7
Blood Bank M/S Rukmani Birla Hospital,Jaipur,Rajasthan,B-,3
Pratishtha Blood Center,Tonk,Rajasthan,B-,7
Blood Centre Military Hospital,Jodhpur,Rajasthan,B-,7
Sudha Blood Centre,Kota,Rajasthan,B-,3
Blood Centre State Cancer Institute Jaipur,Jaipur,Rajasthan,B-,1
Shree Shyam Blood Centre,Didwana-Kuchaman,Rajasthan,B-,7
Apna Blood Centre,Kota,Rajasthan,B-,3
Parth Blood Centre,Jaipur,Rajasthan,B-,5
Shree Blood Centre,Pali,Rajasthan,B-,6
Jaipur Blood Centre,Jaipur,Rajasthan,B-,7
Narayana Hrudayalaya Pvt. Ltd.,Jaipur,Rajasthan,B-,3
Lion Charitable Trust,Churu,Rajasthan,B-,6
Pushpa Devi Memorial Blood Centre (Run By Kothari Public Charitable Trust),Jaipur,Rajasthan,B-,7
Jai Durga Blood Centre,Jaipur,Rajasthan,B-,6
Jindal Super Specialty Hospital,Bharatpur,Rajasthan,B-,4
TULSI HOSPITAL BLOOD CENTRE,Bikaner,Rajasthan,B-,6
Shri Munshi Ram Mittal Memorial Seva Samiti Blood Center,Sikar,Rajasthan,B-,5
VARDAAN  BLOOD CENTRE,Alwar,Rajasthan,B-,4
Life Suraksha Blood Centre,Pratapgarh,Rajasthan,B-,7
District Hospital Sawaimadhopur,Sawai Madhopur,Rajasthan,B-,7
Keshav Blood Centre,Tonk,Rajasthan,B-,7
Arya Blood Center,Jaipur,Rajasthan,B-,7
Swastik Blood Centre Churu,Churu,Rajasthan,B-,6
Jeevan Jyoti Blood Centre,Jaipur,Rajasthan,B-,5
Lokmitra Blood Bank And Thalassemia Research Centre,Udaipur,Rajasthan,B-,7
Agrasen Blood Bank,Jaipur,Rajasthan,B-,5
Suman Blood Centre,Karauli,Rajasthan,B-,7
Singhal Hospital Blood Centre,Bharatpur,Rajasthan,B-,7
"Blood Center, Mgh",Bhilwara,Rajasthan,B-,3
Sh Haridev Joshi General Hospital Dungarpur,Dungarpur,Rajasthan,B-,3
Monalisa charitable  Blood Centre,Hanumangarh,Rajasthan,B-,6
Merta City Blood Center,Nagaur,Rajasthan,B-,2
Stuti Hospital Blood Centre,Rajsamand,Rajasthan,B-,7
Getwell Hospital Blood Centre (A Unit Of Getwell Health And Education Samiti),Sikar,Rajasthan,B-,3
Govt Hospital Barmer,Barmer,Rajasthan,B-,7
Indra Charitable Blood Center,Ganganagar,Rajasthan,B-,5
Bsc Zazana Hospital,Bharatpur,Rajasthan,B-,6
Navjeevan Blood Centre,Jaipur,Rajasthan,B-,3
Jeevan Dhara Blood Center,Baran,Rajasthan,B-,5
